ASSOCIATED SITE,LEG ID,UNIT CONSUMPTION,READING FOR
Hasanpur WHTM,1686,151.584,2021-06-03 00:00:00
Luhari-WHTM,1692,9.288,2021-06-03 00:00:00
"Aerocity, New Delhi",1848,1101.2,2021-06-03 00:00:00
Hasanpur WHTM,1685,194.376,2021-06-03 00:00:00
Luhari-WHTM,1691,1013.76,2021-06-03 00:00:00
Luhari-WHTM,1692,259.008,2021-06-02 00:00:00
Hasanpur WHTM,1685,47.812,2021-06-02 00:00:00
Hasanpur WHTM,1686,353.424,2021-06-02 00:00:00
"Aerocity, New Delhi",1848,2056,2021-06-02 00:00:00
Luhari-WHTM,1691,1649.024,2021-06-02 00:00:00
Luhari-WHTM,1693,279.552,2021-06-01 00:00:00
Hasanpur WHTM,1686,253.904,2021-06-01 00:00:00
"Aerocity, New Delhi",1848,2308.224,2021-06-01 00:00:00
Hasanpur WHTM,1685,179.388,2021-06-01 00:00:00
Luhari-WHTM,1692,696.184,2021-06-01 00:00:00
Luhari-WHTM,1691,810.048,2021-06-01 00:00:00
"Aerocity, New Delhi",1848,589.472,2021-05-31 00:00:00
Hasanpur WHTM,1686,118.176,2021-05-31 00:00:00
Hasanpur WHTM,1685,316.244,2021-05-31 00:00:00
Luhari-WHTM,1692,279.84,2021-05-31 00:00:00
Luhari-WHTM,1691,1514.56,2021-05-31 00:00:00
Luhari-WHTM,1693,30.308,2021-05-30 00:00:00
Luhari-WHTM,1692,617.104,2021-05-30 00:00:00
Hasanpur WHTM,1685,123.3,2021-05-30 00:00:00
Hasanpur WHTM,1686,272.976,2021-05-30 00:00:00
Luhari-WHTM,1691,1273.28,2021-05-30 00:00:00
Luhari-WHTM,1692,376.472,2021-05-29 00:00:00
Hasanpur WHTM,1686,318.816,2021-05-29 00:00:00
Hasanpur WHTM,1685,157.268,2021-05-29 00:00:00
Luhari-WHTM,1691,1789.312,2021-05-29 00:00:00
Hasanpur WHTM,1686,273.616,2021-05-28 00:00:00
Luhari-WHTM,1692,58.776,2021-05-28 00:00:00
Hasanpur WHTM,1685,91.5,2021-05-28 00:00:00
Luhari-WHTM,1691,2022.592,2021-05-28 00:00:00
Luhari-WHTM,1692,34.84,2021-05-27 00:00:00
Hasanpur WHTM,1686,265.776,2021-05-27 00:00:00
Hasanpur WHTM,1685,29.456,2021-05-27 00:00:00
Luhari-WHTM,1691,1814.016,2021-05-27 00:00:00
Hasanpur WHTM,1686,86.64,2021-05-26 00:00:00
Luhari-WHTM,1692,118.768,2021-05-26 00:00:00
Hasanpur WHTM,1685,302.736,2021-05-26 00:00:00
Luhari-WHTM,1691,1619.008,2021-05-26 00:00:00
Luhari-WHTM,1692,163.344,2021-05-25 00:00:00
Hasanpur WHTM,1685,181.58,2021-05-25 00:00:00
Hasanpur WHTM,1686,201.536,2021-05-25 00:00:00
Luhari-WHTM,1691,1539.008,2021-05-25 00:00:00
Hasanpur WHTM,1685,34.892,2021-05-24 00:00:00
Luhari-WHTM,1692,38.676,2021-05-24 00:00:00
Hasanpur WHTM,1686,295.904,2021-05-24 00:00:00
